idVille;year_;month_;ville;prix_moyen_mois_maison_vente;prix_moyen_mois_appart_location;prix_moyen_mois_appart_vente;prix_moyen_mois_maison_location;rendement_maison;rendement_appart
2974;2018.0;10;Paris;6651.9046667456;30.3666666674;9030.9705332881;25.6722222227;4.631254988;4.0350037536
3002;2018.0;10;Besançon;2864.7999999999;14.6;2131.9700000001;11.4;4.7752024574;8.2177516569
2974;2018.0;11;Paris;10885.8290181689;37.4210526308;10885.8290181689;37.4210526308;4.1251119306;4.1251119306
2974;2018.0;12;Paris;10418.6197298627;36.8070588233;10418.6197298627;36.8070588233;4.2393783182;4.2393783182
2985;2018.0;12;Reims;2380.9224999997;13.86;2380.9224999997;13.86;6.9855276684;6.9855276684
2985;2018.0;11;Reims;2368.7216666659;13.55;2368.7216666659;13.55;6.8644620551;6.8644620551
2988;2018.0;10;Toulon;3978.6299999999;14.4;3045.75;14.2;4.2828812933;5.6734794386
2988;2018.0;11;Toulon;2877.8466666673;14.05;2877.8466666673;14.05;5.8585470155;5.8585470155
2988;2018.0;12;Toulon;2979.2924999997;14.04;2979.2924999997;14.04;5.6550338713;5.6550338713
3000;2019.0;1;Villeurbanne;3941.5600000002;15.6;3941.5600000002;15.6;4.749388567;4.749388567
2975;2018.0;11;Marseille;2517.5012903009;18.23125;2517.5012903009;18.23125;8.6901643643;8.6901643643
2997;2018.0;10;Limoges;1582.22;10.9;1877.34;8.3;6.2949526615;6.9673048036
2997;2018.0;12;Limoges;1469.4475000002;10.7;1469.4475000002;10.7;8.7379780496;8.7379780496
2997;2018.0;11;Limoges;1466.0650000005;10.7166666667;1466.0650000005;10.7166666667;8.7717802417;8.7717802417
2996;2018.0;11;Aix-en-Provence;1464.7622222231;16.2;1464.7622222231;16.2;13.271778658;13.271778658
2996;2018.0;12;Aix-en-Provence;1928.7524999999;19.04;1928.7524999999;19.04;11.8459989034;11.8459989034
2979;2018.0;12;Nantes;4290.8700000017;16.54;4290.8700000017;16.54;4.6256353607;4.6256353607
2976;2018.0;11;Lyon;5044.3255555554;16.5444444444;5044.3255555554;16.5444444444;3.9357755789;3.9357755789
2980;2019.0;1;Strasbourg;3652.056666666;15.2;3652.056666666;15.2;4.9944460519;4.9944460519
2981;2019.0;1;Montpellier;3721.9799999994;16.0;3721.9799999994;16.0;5.1585446456;5.1585446456
2979;2018.0;10;Nantes;1687.32;16.7;3989.46;13.9;9.8854988977;5.0232362275
2979;2018.0;11;Nantes;4362.0416666644;18.7428571429;4362.0416666644;18.7428571429;5.1561700438;5.1561700438
3008;2018.0;10;Perpignan;2046.8999999999;11.2;1665.48;8.8;5.1590209585;8.0697456589
3008;2018.0;11;Perpignan;1759.1250000005;11.0333333333;1759.1250000005;11.0333333333;7.5264691253;7.5264691253
2986;2019.0;1;Lille;3543.1233333338;16.9;3543.1233333338;16.9;5.7237634968;5.7237634968
