IDVille;Ville;Date_extraction;Prix_appartement_min;Prix_appartement_max;Prix_appartement_moyen;Prix_maison_min;Prix_maison_max;Prix_maison_moyen
2991;Dijon               ;2018-11-25 20:30:02;2312.5  ;3791.67 ;2388.33 ;2312.5  ;3791.67 ;2388.33 
2991;Dijon               ;2018-12-02 20:30:01;2323.53 ;3792.53 ;2395.21 ;2323.53 ;3792.53 ;2395.21 
2991;Dijon               ;2018-12-16 20:30:01;2324.42 ;3800.0  ;2389.41 ;2324.42 ;3800.0  ;2389.41 
2991;Dijon               ;2018-12-23 20:30:02;2352.94 ;3841.71 ;2414.36 ;2352.94 ;3841.71 ;2414.36 
2991;Dijon               ;2018-12-30 20:30:02;2349.4  ;3818.18 ;2408.7  ;2349.4  ;3818.18 ;2408.7  
2991;Dijon               ;2019-01-06 20:30:02;2336.73 ;3805.56 ;2401.15 ;2336.73 ;3805.56 ;2401.15 
2991;Dijon               ;2019-01-20 20:30:02;2333.33 ;3805.56 ;2394.35 ;2333.33 ;3805.56 ;2394.35 
2991;Dijon               ;2019-01-27 20:30:02;2333.33 ;3805.56 ;2394.35 ;2333.33 ;3805.56 ;2394.35 
2989;Grenoble            ;2018-10-31 14:39:05;2537.04 ;4062.01 ;2546.19 ;2755.56 ;4459.01 ;2742.2  
2989;Grenoble            ;2018-11-04 22:39:35;2674.42 ;4576.92 ;2820.9  ;2674.42 ;4576.92 ;2820.9  
2989;Grenoble            ;2018-11-06 09:33:17;2727.27 ;4628.38 ;2906.59 ;2727.27 ;4628.38 ;2906.59 
2989;Grenoble            ;2018-11-07 23:25:12;2726.61 ;4628.38 ;2906.65 ;2726.61 ;4628.38 ;2906.65 
2989;Grenoble            ;2018-11-11 20:30:02;2648.94 ;4566.46 ;2858.99 ;2648.94 ;4566.46 ;2858.99 
2989;Grenoble            ;2018-11-15 19:09:09;2723.43 ;4628.38 ;2904.3  ;2723.43 ;4628.38 ;2904.3  
2989;Grenoble            ;2018-11-25 20:30:02;2742.86 ;4700.0  ;2928.9  ;2742.86 ;4700.0  ;2928.9  
2989;Grenoble            ;2018-12-02 20:30:01;2759.15 ;4744.52 ;2947.51 ;2759.15 ;4744.52 ;2947.51 
2989;Grenoble            ;2018-12-16 20:30:01;2777.78 ;4766.67 ;2970.49 ;2777.78 ;4766.67 ;2970.49 
2989;Grenoble            ;2018-12-23 20:30:02;2677.12 ;4742.21 ;2884.27 ;2677.12 ;4742.21 ;2884.27 
2989;Grenoble            ;2018-12-30 20:30:02;2694.12 ;4761.47 ;2901.12 ;2694.12 ;4761.47 ;2901.12 
2989;Grenoble            ;2019-01-06 20:30:02;2638.47 ;4696.08 ;2814.09 ;2638.47 ;4696.08 ;2814.09 
2989;Grenoble            ;2019-01-20 20:30:02;2538.46 ;4628.38 ;2720.98 ;2538.46 ;4628.38 ;2720.98 
2989;Grenoble            ;2019-01-27 20:30:02;2533.79 ;4607.84 ;2712.19 ;2533.79 ;4607.84 ;2712.19 
2984;Le Havre            ;2018-10-31 14:39:05;4658.77 ;7599.17 ;5127.53 ;1888.6  ;3138.75 ;1954.77 
